,uncoupled,coupled
Bg Completion Rate (%),100,100
Bg Avg Travel Time S,536.2135,536.348
Bg Avg Delay S,22.473,22.6075
Total Emissions Kg Co2,2246.1231450000173,2728.586850000021
Max Queue Length,9,9
Avg Queue Length,0.20828518518518518,0.254662962962963
Avg Ev Travel To Station S,3068.8996801009257,3154.204574182122
Avg Ev Drive Time S,0.49400987879844116,366.49600987879853
Avg Ev Queue Time S,3068.4193548387098,2863.713333333333
Evs At Station Node,500,500
Evs Reached Station,155,150
Evs Meeting Soc Target,71,66
Avg Final Soc,0.4385337936646647,0.4367811122674965
Total Energy Charged (Kwh),3189.3899999999994,3127.1399999999994
Total Charging Cost (Usd),255.1512,250.1712
Peak Grid Load (Kw),2107.3600000000006,2107.3600000000006
Max Transformer Loading (%),111.46321100028196,111.46321100028196
Transformer Overloads,68,66
V2G Energy (Kwh),0,0
V2G Revenue (Usd),0,0
