,fixed,adaptive
Completed Vehicles,2500,2500
Completion Rate (%),100,100
Avg Travel Time S,583.894,540.676
Avg Travel Time Min,9.731566666666668,9.011266666666668
Avg Delay S,65.9948,22.7768
Avg Delay Min,1.0999133333333333,0.37961333333333336
Total Delay S,164987,56942
Total Emissions Kg Co2,3080.66955000002,2831.0856000000217
Emissions Per Vehicle G,1232.2678200000082,1132.4342400000087
Max Queue Length,17,13
Avg Queue Length,0.6637592592592593,0.2635925925925926
Through(P.U.)T Veh Per Hour,833.3333333333334,833.3333333333334
